,"Year
2023","Year
2022","Year
2021","Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2020,Percent share 2023
Electric utilities,"54,096,303","61,239,551","60,648,331","57,441,464","70,436,979","84,829,877","77,340,014","86,422,710","87,771,094","100,983,285","96,047,678","99,680,685","104,840,027","107,852,560","103,594,020","115,887,993","116,727,908","117,643,504","117,373,699","114,690,471","112,395,725","112,029,989","114,666,355","119,721,399","114,182,827","112,771,878","110,466,291","105,557,018","105,188,892","103,485,409","99,951,149","97,299,582","98,199,986","97,738,497",93.7,86.2,63.8,60.1
Battery,-28,-369,-115,-55,-13,-28,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0
Coal,"36,821,597","46,854,259","49,724,326","43,048,916","56,523,752","73,105,138","69,730,941","69,059,912","72,719,698","91,962,760","87,228,590","86,532,458","95,404,216","103,204,599","101,000,267","114,321,205","114,974,642","116,284,183","115,413,188","112,899,892","109,839,659","109,441,044","113,135,350","117,619,535","112,336,883","110,696,190","108,911,799","104,413,600","103,774,522","102,043,025","98,776,088","95,745,949","96,526,976","96,012,872",92.0,82.4,47.8,40.9
Hydroelectric,"458,147","367,190","387,030","270,739","255,983","222,661","306,080","426,265","381,236","371,153","386,928","433,505","408,779","453,712","503,470","436,780","449,936","489,515","438,282","443,721","423,953","411,270","570,692","588,276","406,974","478,668","561,593","448,364","467,261","406,867","448,400","562,476","399,051","441,021",0.5,0.4,0.3,0.5
Natural gas,"15,592,566","13,177,792","9,754,544","13,509,291","13,069,492","10,964,514","6,789,104","16,009,900","13,021,280","6,950,790","6,452,857","11,432,403","7,338,176","3,782,280","1,698,145","735,619","958,345","561,780","1,277,675","953,723","1,724,465","1,706,699","588,690","668,107","625,738","775,490","385,994","374,488","734,058","826,138","528,813","704,093","919,662","610,620",0.5,3.0,15.0,17.3
..Natural gas - CC,"10,682,950","10,315,391","6,714,281","10,716,830","11,222,414","8,262,327","4,881,430","13,451,471","12,001,697","6,521,577","5,765,092","10,663,540","6,790,066","3,239,331","1,420,189","412,878",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.6,11.9,11.9
..Natural gas - GT,"2,203,896","1,678,765","1,663,908","1,335,624","891,353","1,568,095","868,100","991,600","868,089","299,767","528,278","630,427","403,666","390,338","130,131","208,073",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3,1.5,2.4
..Natural gas - IC,0,0,0,272,"5,855","7,443","4,455","12,261","2,199","6,093","9,011","13,034","5,476","5,894","1,151","1,060",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0,0.0
..Natural gas - ST,"2,705,720","1,183,636","1,376,355","1,456,565","949,871","1,126,649","1,035,120","1,554,569","149,295","123,353","150,476","125,402","138,969","146,717","146,674","113,609",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,1.6,3.0
Other,0,0,0,0,0,0,0,0,0,"29,092","95,868","57,375","76,089",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0
Other biomass,"154,132","274,316","288,046","314,021","330,470","320,083","323,578","286,523","299,958","300,435","314,698","285,871","295,074","273,992","259,483","229,247","189,853","173,991",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0.3,0.2
Other gas,.,.,.,0,0,0,0,"9,453","20,388","19,626","4,245",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.
Petroleum,"90,067","103,586","122,806","111,664","119,171","110,373","106,562","597,717","1,320,055","1,347,808","1,564,492","939,073","1,317,693","137,977","132,655","165,142","155,132","134,035","244,554","393,135","407,648","470,976","371,623","845,481","813,232","821,530","606,905","320,566","213,051","209,379","197,848","287,064","354,297","673,984",0.7,0.1,0.1,0.1
..Petroleum - GT,"1,876","5,077","4,451","1,825","2,750","2,009","2,465","2,527","2,390","10,504","3,003","2,164","1,024","1,356",489,"1,205",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0,0.0
..Petroleum - IC,537,696,"1,265","1,408",740,706,578,663,464,663,783,"1,336","1,054","1,156","1,313",921,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0,0.0
..Petroleum - OTH,.,.,.,.,.,.,.,"496,939","1,179,122","1,198,937","1,433,291","831,344","1,160,988",.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Petroleum - ST,"87,654","97,812","117,090","108,431","115,682","107,658","103,518","97,588","138,079","137,704","127,415","104,229","154,627","135,465","130,854","163,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.1
Solar,"979,822","462,778","371,694","186,888","138,124","107,136","83,749","32,940","8,478","1,622",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,1.1
..Solar- PV,"979,822","462,778","371,694","186,888","138,124","107,136","83,749","32,940","8,478","1,622",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,1.1
Wood,.,.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"IPP, commercial and industrial","35,950,577","36,815,354","33,516,465","32,631,515","32,068,402","28,629,834","21,589,804","15,336,349","16,248,181","14,412,107","14,355,799","15,015,044","17,291,387","17,328,179","13,076,260","13,622,301","13,910,091","12,846,284","12,997,874","13,079,925","12,492,492","13,578,150","7,903,324","8,098,119","7,581,670","4,699,647","4,262,616","4,345,083","3,967,953","3,696,648","3,683,990","3,718,981","3,781,311","3,678,618",6.3,13.8,36.2,39.9
Coal,"4,110,033","4,529,856","4,723,617","4,723,969","4,238,054","4,350,091","2,654,016","3,473,168","5,510,989","5,585,979","5,443,352","5,928,734","8,748,383","9,123,058","7,311,431","7,714,880","7,828,255","7,361,284","7,420,290","7,771,040","7,916,625","8,218,656","2,931,162","3,858,350","2,872,321","1,121,904","1,139,863","1,035,424","913,544","878,401","900,865","870,931","930,250","912,681",3.0,7.3,5.2,4.6
Hydroelectric,"5,507","3,637",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0
Natural gas,"19,256,716","18,943,106","17,845,007","18,575,285","18,972,403","15,852,480","11,186,812","3,985,759","3,241,706","2,621,556","2,579,379","3,038,502","2,725,792","2,692,706","2,131,513","2,900,684","3,053,480","2,120,103","2,337,630","1,484,503","1,324,970","2,075,752","1,742,977","1,386,509","1,483,382","1,301,663","847,108","871,687","719,505","683,033","445,785","480,164","535,086","860,217",1.1,2.2,20.6,21.4
..Natural gas - CC,"16,400,248","15,936,369","15,121,876","16,095,662","16,302,166","13,624,443","9,267,858","2,769,149","2,412,666","1,942,647","1,970,809","2,250,966","1,988,160","1,914,321","1,551,723","2,258,060",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.5,17.9,18.2
..Natural gas - GT,"1,271,726","1,523,319","1,258,387","838,822","1,016,861","1,015,964","1,000,474","440,655","97,682","86,878","71,251","254,292","174,815","181,251","68,728","97,506",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.9,1.4
..Natural gas - IC,"46,872","38,460","30,619","42,071","50,588","43,105","41,762","35,293","39,545","36,157","31,617","22,285","13,590",0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0,0.1
..Natural gas - ST,"1,537,870","1,444,959","1,434,124","1,598,729","1,602,788","1,168,968","876,719","740,663","691,813","555,875","505,702","510,959","549,227","597,135","511,062","545,119",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,1.8,1.7
Other,"481,609","467,694","489,475","497,607","333,486","320,666","306,076","363,050","420,071","361,592","346,597","289,196","292,964","380,021","342,796","355,684","380,711","434,976","434,444","518,574","491,864","15,642","15,938",.,"23,876",.,.,.,.,.,.,.,.,.,.,0.3,0.6,0.5
